Ticker,ShortName,Sector,Region,Country,AverageRating,ActualSpread,ProxyIntersection,ProxyCSRA,ProxyCSRACommunity
AWLN-AngWatServ,Anglian Wtr Svcs Ltd,Utilities,Europe,United Kingdom,10,98.0355,80.90682857142858,100.06359302402473,76.26987269173199
AXAF,AXA,Financials,Europe,France,10,55.9697,121.45125999999999,74.65068273410749,77.54799999999997
AYLL,SAFEWAY LTD,Consumer Services,Europe,United Kingdom,10,158.3931,118.06735716129,143.22521683833696,117.17847696348804
AZN,Astrazeneca PLC,Health Care,Europe,United Kingdom,7,38.3575,82.44332500000002,70.27606146456016,49.75965278117869
BAB,Brit Awys plc,Consumer Services,Europe,United Kingdom,9,151.147,82.44332500000002,143.3825345112302,117.34597911103938
BACR-Bank,Barclays Bk plc,Financials,Europe,United Kingdom,7,60.60570000000001,62.65795,120.0349356067741,169.31802918856823
BACRED,Mediobanca SpA,Financials,Europe,Italy,10,129.9474,98.36253333333333,84.52238919514289,78.41482763111739
BAD,EnBW Energie Baden Wuerttemberg AG,Utilities,Europe,Germany,7,67.63419999999999,82.44332500000002,114.27337027956793,83.83027549160921
BANSAB,Bco de Sabadell S A,Financials,Europe,Spain,10,166.3289,71.73780000000002,63.56647762688412,87.42517809630952
BAPLC,BAE Sys PLC,Industrials,Europe,United Kingdom,17,66.6246,82.44332500000002,115.54083919856552,76.1237625274858
BASFSE,BASF SE,Basic Materials,Europe,Germany,6,40.1395,25.224200000000003,210.97109561213574,122.17039183020229
BATSLN,Brit Amern Tob plc,Consumer Goods,Europe,United Kingdom,10,55.1769,138.79997499999993,107.63473180342885,65.07648246882391
BBVSM,Bco Bilbao Vizcaya Argentaria S A,Financials,Europe,Spain,7,133.5554,135.4126,169.10117962862174,121.13512850565338
BCPN,Bco Comercial Portugues SA,Financials,Europe,Portugal,10,454.841,82.44332500000002,73.72230633894371,81.4655868470099
BELG,Kdom Belgium,Government,Europe,Belgium,13,24.1429,82.44332500000002,37.89763508840244,29.02838122780836
BFCM,Bqe Federative Du Cr Mutuel,Financials,Europe,France,6,47.85239999999999,64.05046666666668,74.74998759729306,77.54799999999997
BKIR,Gov & Co Bk Irlnd,Financials,Europe,Ireland,10,149.7781,296.3688,159.37814093969024,77.08246722120353
BKTSM,Bankinter S A,Financials,Europe,Spain,8,123.1656,82.44332500000002,63.669259200097464,87.81055639101488
BMW,Bay Motoren Werke AG,Consumer Goods,Europe,Germany,6,70.81349999999998,151.6581,120.91128365386915,78.49237573955433
BNCBPI,Bco BPI SA,Financials,Europe,Portugal,8,369.4841,308.3141,73.88265215510684,210.68829052246824
BNP,BNP Paribas,Financials,Europe,France,5,71.0104,66.857,74.50008784025258,77.54799999999997
BOCGP,BOC GROUP Ltd,Basic Materials,Europe,United Kingdom,17,27.9529,438.3142,191.12985525367594,130.26900146447505
BOUY,BOUYGUES,Industrials,Europe,France,8,53.3488,82.44332500000002,72.23148635829246,47.93357510153237
BPBL,BPB Ltd,Industrials,Europe,United Kingdom,7,59.302,82.44332500000002,115.95563474557393,87.042039830549
BPLN,BP P.L.C.,Oil & Gas,Europe,United Kingdom,10,100.8228,92.03375,130.73126168180733,81.18207391408272
BRISA,Brisa Auto Estradas de Portugal S A,Industrials,Europe,Portugal,17,101.0588,82.44332500000002,73.25615414012674,195.68943287981398
BRITEL-BritTel,Brit Telecom PLC,Telecommunications,Europe,United Kingdom,1,78.83609999999999,82.44332500000002,111.06908797309903,76.0511499025305
BRITLD,Brit Ld Co plc,Financials,Europe,United Kingdom,10,126.6716,93.66679642857143,119.31127333050517,98.04363233457501
BRYBDC,Carlsberg A S,Consumer Goods,Europe,Denmark,10,89.2129,82.44332500000002,252.9795672137438,59.79221811519513
BRYBDC-Brew,Carlsberg Breweries A S,Consumer Goods,Europe,Denmark,1,87.52399999999999,82.44332500000002,253.12706127086958,59.86418981361837
BSFSHW,BASF Schweiz AG,Basic Materials,Europe,Switzerland,10,26.97140000000001,436.0293,128.19848971134303,684.8803516890573
BWGPSK,BAWAG P.S.K,Financials,Europe,Austria,10,137.0185,82.44332500000002,864.9339140073312,278.4581171643095
BYIF,Bayer AG,Health Care,Europe,Germany,7,40.4229,77.4215,76.49659259435346,58.598070937720074
BYLAN,Bay Landbk Giroz,Financials,Europe,Germany,10,77.9865,87.25025,136.2014367100992,91.62099828537536
CAJAME,Caja de Ahorros del Mediterraneo,Financials,Europe,Spain,10,71.73780000000002,166.32889999999998,63.854590488112734,88.50816660723675
CARR,Carrefour,Consumer Services,Europe,France,7,86.87539999999998,82.44332500000002,90.24193598567827,47.24978858576419
CAWILD,CABLE WIRELESS LTD,Telecommunications,Europe,United Kingdom,10,259.799,109.9365,103.11205527493732,103.7281619313351
CCBP-NATIXI,NATIXIS,Financials,Europe,France,6,68.0108,57.330999999999996,74.52737290486441,176.14041100658895
CCLL,Carnival Plc,Consumer Services,Europe,United Kingdom,10,52.5903,127.68579352492637,146.97550624060335,121.18654187951878
CENTRI,Centrica plc,Utilities,Europe,United Kingdom,9,89.7813,82.44332500000002,100.25825664795903,65.77699496505024
CIRINT,CIR SpA CIE Industriali Riunite,Utilities,Europe,Italy,17,73.2646,82.44332500000002,71.91079249500666,59.0323486310358
CLAR,Clariant AG,Basic Materials,Europe,Switzerland,10,77.6464,410.69179999999994,123.07081348354048,92.10730000000002
CMFP,Ciments Francais,Industrials,Europe,France,17,225.3567,82.44332500000002,69.3107690168664,145.93835916359137
CMZB,Commerzbank AG,Financials,Europe,Germany,10,90.0892,85.23313333333333,136.0758833362858,135.3244381067097
CONTI,Contl AG,Consumer Goods,Europe,Germany,10,63.43899999999999,88.73660000000001,121.27059544118421,78.9598118196313
CPGLN,Compass Gp PLC,Consumer Services,Europe,United Kingdom,7,34.2947,82.44332500000002,148.45605859950788,79.87532796412877
CSGAG,Credit Suisse Gp Ltd,Financials,Europe,Switzerland,10,85.76530000000002,133.8495,169.24620029235157,87.49739651489908
CTSGL,COLT Tech SERVICES GROUP Ltd,Telecommunications,Europe,United Kingdom,10,126.9099,176.38104999999945,107.82123350046322,119.75011289570556
CXGD,Caixa Geral de Depositos S A,Financials,Europe,Portugal,8,308.3141,369.4841,74.02256641873034,210.68829052246824
CYPRUS,Rep Cyprus,Government,Europe,Cyprus,10,258.1040418480862,82.44332500000002,19.287455273727158,41.03460403423097
DAA,Deutsche Apotheker Und Aerz,Financials,Europe,Germany,10,101.9865,83.25025,135.96802378483218,91.45112800196478
DAMLR,Daimler AG,Consumer Goods,Europe,Germany,10,62.00830000000001,89.2135,121.34525885107769,79.05711720762291
DANBNK,Danske Bk A S,Financials,Europe,Denmark,6,60.3376,82.44332500000002,871.991650827971,90.34559883618343
DANONE,DANONE,Consumer Goods,Europe,France,10,40.74140000000001,86.41865,67.32645923726112,40.59811378139984
DB,Deutsche Bk AG,Financials,Europe,Germany,7,95.15810000000002,116.8212,136.0282739330896,135.2632884027229
DBB,Deutsche Bahn AG,Consumer Services,Europe,Germany,2,17.6764,82.44332500000002,172.36306802652373,118.09326300230457
DBR,Fed Rep Germany,Government,Europe,Germany,10,8.0619,82.44332500000002,42.76658927617847,50.11561741431574
DENK,Kdom Denmark,Government,Europe,Denmark,10,14.7989,82.44332500000002,87.5708761851207,20.848231025152398
DEPFA-Bank,DEPFA Bk Plc,Financials,Europe,Ireland,10,296.3688,149.7781,158.0807445421189,81.65861357649148
DEXGRP-CredLoc,Dexia Cr Loc,Financials,Europe,France,10,138.9033,104.86454,74.07720362869934,174.6795513192831
DEXO,SODEXO,Consumer Services,Europe,France,10,44.5919,117.0550657894737,91.55224690014504,49.329810554014955
DFHH,DEBENHAMS Fin Hldgs Ltd,Consumer Services,Europe,United Kingdom,10,155.5511,118.32572079765364,143.28602305780103,117.24321310602204
DIAG,Diageo PLC,Consumer Goods,Europe,United Kingdom,17,51.6975,82.44332500000002,107.85696134305637,65.31935138399874
DMGOLN,Daily Mail & Gen Tr Plc,Consumer Services,Europe,United Kingdom,17,241.1394,102.25492222222222,141.8209196520907,115.68572772947701
DPW,Deutsche Post AG,Industrials,Europe,Germany,6,33.454,82.44332500000002,133.309948657487,82.67643919861294
DT,Deutsche Telekom AG,Telecommunications,Europe,Germany,6,44.84350000000001,82.44332500000002,129.5138886842891,107.95561674569147
DZBK,DZ Bk AG,Financials,Europe,Germany,10,79.88119999999998,86.93446666666667,136.18053731612702,91.60578741772717
EDF,ELECTRICITE DE FRANCE,Utilities,Europe,France,4,86.1528,82.44332500000002,62.27201621795448,40.23488245875689
EDP,EDP Energias de Portugal SA,Utilities,Europe,Portugal,10,166.115,82.44332500000002,56.60862871673274,586.1141658009185
EDP-FinBV,EDP Fin BV,Utilities,Europe,Netherlands,10,144.7325,86.72617318162644,557.0545692119578,106.35818092447067
ELEBEL,Electrabel,Utilities,Europe,Belgium,7,78.8551,82.44332500000002,106.47591783403064,75.58605312258612
ELESM,Endesa S A,Utilities,Europe,Spain,8,84.0902,82.44332500000002,53.88160514215783,69.40660484137227
ELIA,Elia Sys Operator SA NV,Utilities,Europe,Belgium,10,68.9356,82.44332500000002,106.9320331988172,75.9501911500341
ELIAC,Elisa Oyj,Telecommunications,Europe,Finland,10,87.0761,82.44332500000002,154.48042959846782,100.59486131562561
ELTLX,AB Electrolux,Consumer Goods,Europe,Sweden,17,70.11540000000001,51.208000000000034,150.5052308475962,59.604208460892984
EMIG,EMI Group Ltd,Consumer Services,Europe,United Kingdom,17,92.3092,118.79161111111111,145.04968496486703,119.12445181616408
ENDP,Empresa Nacional de Petroleo,Oil & Gas,Europe,Spain,10,256.804,82.44332500000002,62.75766021366114,86.89179650284665
ENEL,ENEL S p A,Utilities,Europe,Italy,10,91.9353,66.30635000000001,71.51304408327053,31.36255428728669
ENI,ENI S.p.A.,Oil & Gas,Europe,Italy,10,88.6237,82.44332500000002,102.04214200843577,84.79266810575439
EON-PWGLN,POWERGEN Ltd,Utilities,Europe,United Kingdom,10,94.9838,81.34278571428571,100.13354038893763,76.39386876525202
EON-UK,EON UK PLC,Utilities,Europe,United Kingdom,10,89.56299999999999,82.11718571428572,100.26365007026462,76.62482027105656
ERGBA,Erste Group Bk AG,Financials,Europe,Austria,6,126.7683,82.44332500000002,866.3670742828401,278.5950737323527
ESS,Essent N V,Government,Europe,Netherlands,9,82.6062,82.44332500000002,184.33653560218292,37.049076462479334
EVRGSA,Evraz Group SA,Basic Materials,Europe,Luxembourg,18,543.67648,82.44332500000002,124.0902321366832,58.51527194343157
EXPGRL-EXPFIN,EXPERIAN Fin PLC,Consumer Services,Europe,United Kingdom,17,39.54509999999999,124.65428888888889,147.96110870695713,79.34316699210787
F-FCEBank,FCE Bk PLC,Financials,Europe,United Kingdom,10,86.9051,99.347725,119.68058418523,98.51662856598475
FERRUZ,Edison S p A,Utilities,Europe,Italy,10,45.27620000000001,89.63589999999999,72.76142189993753,60.29059486621692
FGPLN,Firstgroup plc,Consumer Services,Europe,United Kingdom,10,128.2113,120.81115716129,143.93679800003807,117.93656551943417
FINL,Rep Finland,Government,Europe,Finland,10,13.7078,82.44332500000002,26.040640737746998,25.447139814875612
FORTUM,Fortum Oyj,Utilities,Europe,Finland,9,70.28229999999999,82.44332500000002,141.78785216631528,64.9276713581604
FRTR,French Rep,Government,Europe,France,10,18.371,82.44332500000002,22.602135243089364,54.155957880263905
FSEKGA,Fresenius SE & Co KGaA,Health Care,Europe,Germany,7,77.4215,40.422900000000006,68.51430273557095,46.638403635969404
GFCFP,Gecina,Financials,Europe,France,10,62.5285,120.1395,74.58053311236895,176.31314173109675
GLCORE,Glencore Intl AG,Basic Materials,Europe,Switzerland,10,794.4122,52.3089,112.50388499980696,110.79042583796317
GROHE,Grohe Hldg Gmbh,Industrials,Europe,Germany,10,130.0176198347107,153.89599999999996,128.33491103538785,77.20507865496143
GROUPE,Casino Guichard Perrachon,Consumer Services,Europe,France,22,386.4743,82.44332500000002,87.37697567771897,60.40135774207952
GSK,Glaxosmithkline Plc,Health Care,Europe,United Kingdom,17,50.43830000000001,82.44332500000002,66.86709003174614,45.155718722247116
HAMRSN,Hammerson PLC,Financials,Europe,United Kingdom,1,59.3408,82.44332500000002,120.05570434125379,98.99789840575892
HAVAS,Havas,Consumer Services,Europe,France,10,103.4915,97.42186578947369,89.90120013499472,212.43498134929763
HBOS,HBOS Plc,Financials,Europe,United Kingdom,17,47.853,69.209,120.26777684156797,99.27035332415176
HBOS-ScotBkPLC,Bk OF SCOTLAND PLC,Financials,Europe,United Kingdom,6,52.3907,82.44332500000002,120.17843732330813,99.15554391749143
HEI,HeidelbergCement AG,Industrials,Europe,Germany,10,153.896,130.0176198347107,127.7300963537426,85.34030230006347
HEI-HANSN,HANSON Ltd,Industrials,Europe,United Kingdom,10,53.05785600000001,84.51365000000001,116.35340032972516,87.48973825324352
HEIANA,Heineken NV,Consumer Goods,Europe,Netherlands,7,51.2085,82.44332500000002,605.1235169022058,612.5223116042594
HEIANA-SCOT,SCOTTISH & NEWCASTLE Ltd,Consumer Goods,Europe,United Kingdom,10,68.7079,135.417225,106.8898106412229,90.47337270030826
HENAGK,Henkel AG & Co KGaA,Basic Materials,Europe,Germany,6,25.2242,40.13949999999999,215.2538688416006,120.25785658144446
HESLAN,Landbk Hessen thueringen Giroz,Financials,Europe,Germany,5,70.9358,82.44332500000002,136.2839697515879,91.68106884216223
HOFP,THALES,Industrials,Europe,France,10,50.5134,87.51650000000001,72.34458111758727,48.16010316321657
HSBC,HSBC Hldgs plc,Financials,Europe,United Kingdom,5,91.4626909090909,102.9974,119.63041625337989,98.45232799994861
HSBC-HSBCBank,HSBC Bk plc,Financials,Europe,United Kingdom,5,70.5237,113.46689545454545,119.88580318455708,98.77981546896923
IBERDU,Iberdrola S A,Utilities,Europe,Spain,6,82.85880000000002,82.44332500000002,53.90398686169417,26.58857349635506
IBERDU-Intl,Iberdrola Intl BV,Utilities,Europe,Netherlands,10,82.64634636325283,117.76925,563.6091445864315,108.96625989501632
IBERDU-ScotPwr,Scottish Pwr Ltd,Utilities,Europe,United Kingdom,17,83.5595,81.9898,100.41748957760835,76.89840612711163
ICELND,Rep Iceland,Government,Europe,Iceland,10,131.5615,82.44332500000002,19.287455273727158,41.03460403423097
IFX-HldgBV,Infineon Tech Hldg B V,Technology,Europe,Netherlands,10,202.8829,82.44332500000002,917.6604433179649,155.86515203173923
IHOT,INTERCONTINENTAL HOTELS LTD,Consumer Services,Europe,United Kingdom,10,230.1984,111.53960261583546,141.97538545094923,115.84970578133462
III,3i Gp plc,Financials,Europe,United Kingdom,9,109.5966,82.44332500000002,119.4530591312773,98.22512867939535
IKB,IKB Deutsche Industriebank AG,Financials,Europe,Germany,10,157.5222,73.9943,135.5906807648079,91.17656067065398
INTNED,ING Groep NV,Financials,Europe,Netherlands,5,60.36021818181817,56.03800000000001,674.665084307665,139.33598450979804
INTNED-BankNV,ING Bk N V,Financials,Europe,Netherlands,5,52.11280000000001,60.1617090909091,675.5678806010673,139.51749340084118
INVSA,Inv AB,Financials,Europe,Sweden,17,48.1353,82.44332500000002,170.51003185430747,152.13364597179418
IRELND,Rep Irlnd,Government,Europe,Ireland,10,32.4978,82.44332500000002,258.10404184808607,24.187270692188058
ISSAS-Global,ISS Glob A S,Financials,Europe,Denmark,10,78.3831,82.44332500000002,285.9427582852247,66.54263667778609
ITALY,Rep Italy,Government,Europe,Italy,10,84.06200000000003,158.562689958159,24.130092083889448,20.872187223876733
ITV,ITV Plc,Consumer Services,Europe,United Kingdom,17,104.5577,117.43066666666667,144.62661999947983,75.80438044482683
ITV-Carlton,CARLTON Comms Ltd,Consumer Services,Europe,United Kingdom,10,113.9340287741901,122.1090909090909,144.33573011169375,118.36206540033514
JAPTOB-GGL,GALLAHER GROUP Ltd,Consumer Goods,Europe,United Kingdom,10,35.8553,143.63037499999996,109.11396846060968,94.18919602224005
KDSM,Koninklijke DSM NV,Basic Materials,Europe,Netherlands,10,42.5082,82.44332500000002,1047.1233412885229,946.2701999999998
KEL-YorkWat,YORKSHIRE WATER SERVICES Ltd,Utilities,Europe,United Kingdom,10,95.71639999999998,81.23812857142858,100.11654125355678,76.36372374799802
KEL-YorkWatfltd,YORKSHIRE WATER SERVICES Fin Ltd,Utilities,Europe,United Kingdom,10,80.2209,83.45177142857143,100.50800735429465,77.0596412665378
KINGFI,Kingfisher PLC,Consumer Services,Europe,United Kingdom,8,56.8217,82.44332500000002,146.70910286280952,120.90080043862
KPN,Koninklijke KPN N V,Telecommunications,Europe,Netherlands,8,80.5961,82.44332500000002,620.4322573879746,615.1486464946139
KRCP-BankNV,KBC Bk,Financials,Europe,Belgium,10,49.9832,82.44332500000002,127.49750201043237,97.33743657508455
LAFCP,Lafarge,Industrials,Europe,France,9,60.4779,82.44332500000002,71.97241621834145,155.86218913613945
LAGARD,Lagardere Societes,Consumer Services,Europe,France,10,144.8326973684211,83.64146666666666,89.25047037266525,209.43572679364647
LAND-SecPlc,Ld Secs PLC,Financials,Europe,United Kingdom,10,109.3849,96.136325,119.45495363025967,98.22755459177563
LAVORO,Bca Naz del Lavoro S p A,Financials,Europe,Italy,10,69.73169999999999,118.43443333333332,84.95359848410517,73.52213594238104
LAZIO,Lazio Region,Government,Europe,Italy,10,121.219179916318,139.98410000000004,23.622757042117062,20.258164192272755
LBTG-UPC,UPC Hldg BV,Consumer Services,Europe,Netherlands,10,277.6301,90.6209,787.3893103797444,160.78292895050916
LBW,Landbk Baden Wuertbg,Financials,Europe,Germany,10,55.87639999999999,90.93526666666666,136.49203240309967,91.83251765455674
LGEN,Legal & Gen Gp PLC,Financials,Europe,United Kingdom,10,70.4067,101.70463928571428,119.88743598113217,98.7819104865288
LGRDSA-frnc,Legrand France,Industrials,Europe,France,14,65.6141,82.44332500000002,71.80454922896125,155.22807637218287
LIFP,Klepierre,Financials,Europe,France,6,55.2186,61.59506666666667,74.65924015548715,176.5689651746887
LINDE,Linde AG,Basic Materials,Europe,Germany,14,35.4281,82.44332500000002,212.11370068424384,122.67672599576444
LMETEL,TelefonAB L M Ericsson,Technology,Europe,Sweden,10,59.1868,82.44332500000002,305.65763625002,218.30592824784037
LNX,Lanxess,Basic Materials,Europe,Germany,17,72.3016,82.44332500000002,205.66794513349956,119.81186788493447
LOREAL,L'Oreal,Consumer Goods,Europe,France,3,72.32320000000001,82.44332500000002,66.3057372957468,161.5480633289626
LUFTHA,Deutsche Lufthansa AG,Consumer Services,Europe,Germany,10,118.37,82.44332500000002,163.12893772443883,90.50469753035873
MANSE,MAN SE,Industrials,Europe,Germany,14,66.3549,286.10889999999995,130.77643713375284,79.86937091770008
METSO,Metso Corp,Industrials,Europe,Finland,10,74.5383,82.44332500000002,162.02893282052887,383.4332615827847
MICHLN,CIE GENERALE des ETABLISSEMENTS MICHELIN,Consumer Goods,Europe,France,14,55.3325,238.8385,66.78007080134248,164.04718191096552
MKGA,Merck KGaA,Health Care,Europe,Germany,10,39.2756,82.44332500000002,76.87101386406422,36.08203685961495
MKS,MARKS & SPENCER GROUP PLC,Consumer Services,Europe,United Kingdom,17,100.3502,117.89816666666667,144.7659474471778,118.8213311376169
MKS-M+SPlc,Marks & Spencer p l c,Consumer Services,Europe,United Kingdom,17,103.1243,117.58993333333333,144.67343088070416,75.85350019128273
MOET,LVMH Moet Hennessy Louis Vuitton,Consumer Goods,Europe,France,4,42.2882,82.44332500000002,67.25970938950634,40.54072552824526
MONTE,Bca Monte dei Paschi di Siena S p A,Financials,Europe,Italy,13,277.3564,82.44332500000002,84.00013210843812,72.50268915765372
MUNRE,Munich Re,Financials,Europe,Germany,10,38.146,93.89033333333333,136.82551324661782,136.28808720611306
NDB,Norddeutsche Landbk Girozentrale,Financials,Europe,Germany,7,116.8212,95.15810000000002,135.85003288995594,91.36526718369846
NESTLE,Nestle S A,Consumer Goods,Europe,Switzerland,4,31.2531,82.44332500000002,74.29910855421123,83.24855385132756
NETHRS,Kdom Neth,Government,Europe,Netherlands,10,10.9554,82.44332500000002,209.91443973587317,45.65609298139973
NGGPLC,Natl Grid Gas Plc,Utilities,Europe,United Kingdom,10,50.3242,87.72272857142858,101.54898121579413,78.92772813125924
NGP,Natl Grid Plc,Utilities,Europe,United Kingdom,8,51.675,82.44332500000002,101.48956097855142,71.72698749697601
NGP-NGET,Natl Grid Electricity Transmission plc,Utilities,Europe,United Kingdom,7,50.0166,82.44332500000002,101.56274004082405,78.95258995346553
NIBBNK,NIBC Bk NV,Financials,Europe,Netherlands,10,164.1684,67.93570000000001,668.5488005012581,138.10612426139653
NIECO,Nielsen Co,Consumer Services,Europe,Netherlands,10,90.6209,277.6301000000001,813.8160289431271,168.93379038156144
NIPSHG-PILKING,PILKINGTON GROUP Ltd,Industrials,Europe,United Kingdom,10,114.3233,69.197289,113.6365074999593,84.44704712352758
NOKIA,Nokia Oyj,Technology,Europe,Finland,14,111.6891,82.44332500000002,266.2298932913134,155.70718979895813
NORWAY,Kdom Norway,Government,Europe,Norway,10,14.0227,82.44332500000002,21.244949684102043,43.35253476961193
NOVART,Novartis AG,Health Care,Europe,Switzerland,10,23.15499999999999,31.9456,49.856533921523024,438.2399017264612
NSINO,Norske Skogindustrier ASA,Basic Materials,Europe,Norway,18,3341.336063348416,82.44332500000002,167.09404502535617,77.26
NXP,NXP B.V.,Technology,Europe,Germany,10,180.2065,82.44332500000002,186.49724938975476,97.32869120047728
NXT,Next plc,Consumer Services,Europe,United Kingdom,17,51.0057,123.38088888888888,147.08096049998656,78.40124526971228
OTE,Hellenic Telecom Org SA,Telecommunications,Europe,Greece,10,353.0626999999999,82.44332500000002,66.82089624110185,51.16456372618963
PAUTO,Porsche Automobil Hldg SE,Consumer Goods,Europe,Germany,8,90.5823,82.44332500000002,120.1106905650909,81.86809953327271
PERNOD,Pernod Ricard,Consumer Goods,Europe,France,8,70.4258,82.44332500000002,66.35267745978777,39.76331439990846
PEUGOT,Peugeot SA,Consumer Goods,Europe,France,14,238.8385,55.3325,64.23034402746165,37.96198077696404
PEUGOT-BanqPsa,Bqe Psa Fin,Financials,Europe,France,10,236.6023,85.32474,73.74322703347767,173.59789824254372
PIRELN,Pirelli & C SpA,Consumer Goods,Europe,Italy,9,165.292,82.44332500000002,74.45148627213385,66.14144226765625
PORTUG,Rep Portugal,Government,Europe,Portugal,10,150.9206,82.44332500000002,21.379493259413547,13.707800000000008
PPWRC,Pub Pwr Corp SA,Utilities,Europe,Greece,10,417.4543,82.44332500000002,59.00795638199355,108.57742000556495
PREUSS,TUI AG,Consumer Services,Europe,Germany,11,127.3961,82.44332500000002,162.7821925911155,89.8497137044673
PRUFIN,Prudential PLC,Financials,Europe,United Kingdom,6,82.3448,82.44332500000002,119.73351028902232,167.80118180834606
PSON,Pearson plc,Consumer Services,Europe,United Kingdom,17,91.5932,118.87116666666667,145.07616613172283,76.27675743770409
PUBFP,Publicis Groupe SA,Consumer Services,Europe,France,9,87.4696,58.90727788509,90.22864100703252,47.228988588311395
RAGAG-EVODEG,Evonik Degussa GmbH,Basic Materials,Europe,Germany,10,45.3035,82.44332500000002,209.86943529071377,112.78576197641526
RBOSCH,Robert Bosch GmBH,Consumer Goods,Europe,Germany,10,50.0543,93.19816666666667,122.04849113564799,84.80551039071345
