Ticker,ShortName,Sector,Region,Country
CXGD,Caixa Geral de Depositos S A,Financials,Europe,Portugal
CYPRUS,Rep Cyprus,Government,Europe,Cyprus
DAA,Deutsche Apotheker Und Aerz,Financials,Europe,Germany
DAMLR,Daimler AG,Consumer Goods,Europe,Germany
DANBNK,Danske Bk A S,Financials,Europe,Denmark
DANONE,DANONE,Consumer Goods,Europe,France
DB,Deutsche Bk AG,Financials,Europe,Germany
DBB,Deutsche Bahn AG,Consumer Services,Europe,Germany
DBR,Fed Rep Germany,Government,Europe,Germany
DENK,Kdom Denmark,Government,Europe,Denmark
DEPFA-Bank,DEPFA Bk Plc,Financials,Europe,Ireland
DEXGRP-CredLoc,Dexia Cr Loc,Financials,Europe,France
DEXO,SODEXO,Consumer Services,Europe,France
DFHH,DEBENHAMS Fin Hldgs Ltd,Consumer Services,Europe,United Kingdom
DIAG,Diageo PLC,Consumer Goods,Europe,United Kingdom
DMGOLN,Daily Mail & Gen Tr Plc,Consumer Services,Europe,United Kingdom
DPW,Deutsche Post AG,Industrials,Europe,Germany
DT,Deutsche Telekom AG,Telecommunications,Europe,Germany
DZBK,DZ Bk AG,Financials,Europe,Germany
EDF,ELECTRICITE DE FRANCE,Utilities,Europe,France
EDP,EDP Energias de Portugal SA,Utilities,Europe,Portugal
EDP-FinBV,EDP Fin BV,Utilities,Europe,Netherlands
ELEBEL,Electrabel,Utilities,Europe,Belgium
ELESM,Endesa S A,Utilities,Europe,Spain
ELIA,Elia Sys Operator SA NV,Utilities,Europe,Belgium
ELIAC,Elisa Oyj,Telecommunications,Europe,Finland
ELTLX,AB Electrolux,Consumer Goods,Europe,Sweden
EMIG,EMI Group Ltd,Consumer Services,Europe,United Kingdom
ENDP,Empresa Nacional de Petroleo,Oil & Gas,Europe,Spain
ENEL,ENEL S p A,Utilities,Europe,Italy
ENI,ENI S.p.A.,Oil & Gas,Europe,Italy
EON-PWGLN,POWERGEN Ltd,Utilities,Europe,United Kingdom
EON-UK,EON UK PLC,Utilities,Europe,United Kingdom
ERGBA,Erste Group Bk AG,Financials,Europe,Austria
ESS,Essent N V,Government,Europe,Netherlands
EVRGSA,Evraz Group SA,Basic Materials,Europe,Luxembourg
EXPGRL-EXPFIN,EXPERIAN Fin PLC,Consumer Services,Europe,United Kingdom
F-FCEBank,FCE Bk PLC,Financials,Europe,United Kingdom
FERRUZ,Edison S p A,Utilities,Europe,Italy
FGPLN,Firstgroup plc,Consumer Services,Europe,United Kingdom
FINL,Rep Finland,Government,Europe,Finland
FORTUM,Fortum Oyj,Utilities,Europe,Finland
FRTR,French Rep,Government,Europe,France
FSEKGA,Fresenius SE & Co KGaA,Health Care,Europe,Germany
GFCFP,Gecina,Financials,Europe,France
GLCORE,Glencore Intl AG,Basic Materials,Europe,Switzerland
GROHE,Grohe Hldg Gmbh,Industrials,Europe,Germany
GROUPE,Casino Guichard Perrachon,Consumer Services,Europe,France
GSK,Glaxosmithkline Plc,Health Care,Europe,United Kingdom
HAMRSN,Hammerson PLC,Financials,Europe,United Kingdom
HAVAS,Havas,Consumer Services,Europe,France
HBOS,HBOS Plc,Financials,Europe,United Kingdom
HBOS-ScotBkPLC,Bk OF SCOTLAND PLC,Financials,Europe,United Kingdom
HEI,HeidelbergCement AG,Industrials,Europe,Germany
HEI-HANSN,HANSON Ltd,Industrials,Europe,United Kingdom
HEIANA,Heineken NV,Consumer Goods,Europe,Netherlands
HEIANA-SCOT,SCOTTISH & NEWCASTLE Ltd,Consumer Goods,Europe,United Kingdom
HENAGK,Henkel AG & Co KGaA,Basic Materials,Europe,Germany
HESLAN,Landbk Hessen thueringen Giroz,Financials,Europe,Germany
HOFP,THALES,Industrials,Europe,France
HSBC,HSBC Hldgs plc,Financials,Europe,United Kingdom
HSBC-HSBCBank,HSBC Bk plc,Financials,Europe,United Kingdom
IBERDU,Iberdrola S A,Utilities,Europe,Spain
IBERDU-Intl,Iberdrola Intl BV,Utilities,Europe,Netherlands
IBERDU-ScotPwr,Scottish Pwr Ltd,Utilities,Europe,United Kingdom
ICELND,Rep Iceland,Government,Europe,Iceland
IFX-HldgBV,Infineon Tech Hldg B V,Technology,Europe,Netherlands
IHOT,INTERCONTINENTAL HOTELS LTD,Consumer Services,Europe,United Kingdom
III,3i Gp plc,Financials,Europe,United Kingdom
IKB,IKB Deutsche Industriebank AG,Financials,Europe,Germany
INTNED,ING Groep NV,Financials,Europe,Netherlands
INTNED-BankNV,ING Bk N V,Financials,Europe,Netherlands
INVSA,Inv AB,Financials,Europe,Sweden
IRELND,Rep Irlnd,Government,Europe,Ireland
ISSAS-Global,ISS Glob A S,Financials,Europe,Denmark
ITALY,Rep Italy,Government,Europe,Italy
ITV,ITV Plc,Consumer Services,Europe,United Kingdom
ITV-Carlton,CARLTON Comms Ltd,Consumer Services,Europe,United Kingdom
JAPTOB-GGL,GALLAHER GROUP Ltd,Consumer Goods,Europe,United Kingdom
KDSM,Koninklijke DSM NV,Basic Materials,Europe,Netherlands
KEL-YorkWat,YORKSHIRE WATER SERVICES Ltd,Utilities,Europe,United Kingdom
KEL-YorkWatfltd,YORKSHIRE WATER SERVICES Fin Ltd,Utilities,Europe,United Kingdom
KINGFI,Kingfisher PLC,Consumer Services,Europe,United Kingdom
KPN,Koninklijke KPN N V,Telecommunications,Europe,Netherlands
KRCP-BankNV,KBC Bk,Financials,Europe,Belgium
LAFCP,Lafarge,Industrials,Europe,France
LAGARD,Lagardere Societes,Consumer Services,Europe,France
LAND-SecPlc,Ld Secs PLC,Financials,Europe,United Kingdom
LAVORO,Bca Naz del Lavoro S p A,Financials,Europe,Italy
LAZIO,Lazio Region,Government,Europe,Italy
LBTG-UPC,UPC Hldg BV,Consumer Services,Europe,Netherlands
LBW,Landbk Baden Wuertbg,Financials,Europe,Germany
LGEN,Legal & Gen Gp PLC,Financials,Europe,United Kingdom
LGRDSA-frnc,Legrand France,Industrials,Europe,France
LIFP,Klepierre,Financials,Europe,France
LINDE,Linde AG,Basic Materials,Europe,Germany
LMETEL,TelefonAB L M Ericsson,Technology,Europe,Sweden
LNX,Lanxess,Basic Materials,Europe,Germany
LOREAL,L'Oreal,Consumer Goods,Europe,France
LUFTHA,Deutsche Lufthansa AG,Consumer Services,Europe,Germany
MANSE,MAN SE,Industrials,Europe,Germany
METSO,Metso Corp,Industrials,Europe,Finland
MICHLN,CIE GENERALE des ETABLISSEMENTS MICHELIN,Consumer Goods,Europe,France
MKGA,Merck KGaA,Health Care,Europe,Germany
MKS,MARKS & SPENCER GROUP PLC,Consumer Services,Europe,United Kingdom
MKS-M+SPlc,Marks & Spencer p l c,Consumer Services,Europe,United Kingdom
MOET,LVMH Moet Hennessy Louis Vuitton,Consumer Goods,Europe,France
MONTE,Bca Monte dei Paschi di Siena S p A,Financials,Europe,Italy
MUNRE,Munich Re,Financials,Europe,Germany
NDB,Norddeutsche Landbk Girozentrale,Financials,Europe,Germany
NESTLE,Nestle S A,Consumer Goods,Europe,Switzerland
NETHRS,Kdom Neth,Government,Europe,Netherlands
NGGPLC,Natl Grid Gas Plc,Utilities,Europe,United Kingdom
NGP,Natl Grid Plc,Utilities,Europe,United Kingdom
NGP-NGET,Natl Grid Electricity Transmission plc,Utilities,Europe,United Kingdom
NIBBNK,NIBC Bk NV,Financials,Europe,Netherlands
NIECO,Nielsen Co,Consumer Services,Europe,Netherlands
NIPSHG-PILKING,PILKINGTON GROUP Ltd,Industrials,Europe,United Kingdom
NOKIA,Nokia Oyj,Technology,Europe,Finland
NORWAY,Kdom Norway,Government,Europe,Norway
NOVART,Novartis AG,Health Care,Europe,Switzerland
NSINO,Norske Skogindustrier ASA,Basic Materials,Europe,Norway
NXP,NXP B.V.,Technology,Europe,Germany
NXT,Next plc,Consumer Services,Europe,United Kingdom
OTE,Hellenic Telecom Org SA,Telecommunications,Europe,Greece
PAUTO,Porsche Automobil Hldg SE,Consumer Goods,Europe,Germany
PERNOD,Pernod Ricard,Consumer Goods,Europe,France
PEUGOT,Peugeot SA,Consumer Goods,Europe,France
PEUGOT-BanqPsa,Bqe Psa Fin,Financials,Europe,France
PIRELN,Pirelli & C SpA,Consumer Goods,Europe,Italy
PORTUG,Rep Portugal,Government,Europe,Portugal
PPWRC,Pub Pwr Corp SA,Utilities,Europe,Greece
PREUSS,TUI AG,Consumer Services,Europe,Germany
PRUFIN,Prudential PLC,Financials,Europe,United Kingdom
PSON,Pearson plc,Consumer Services,Europe,United Kingdom
PUBFP,Publicis Groupe SA,Consumer Services,Europe,France
RAGAG-EVODEG,Evonik Degussa GmbH,Basic Materials,Europe,Germany
RBOSCH,Robert Bosch GmBH,Consumer Goods,Europe,Germany
RDMB,Rodamco Europe NV,Financials,Europe,Netherlands
RDNA-ShellPet,SHELL Pete N V,Oil & Gas,Europe,Netherlands
RDNA-ShellPetLt,Shell Pete Co Ltd,Oil & Gas,Europe,United Kingdom
RDSPLC,ROYAL DUTCH SHELL PLC,Oil & Gas,Europe,United Kingdom
RECSA,Red Electrica Corporacion S A,Utilities,Europe,Spain
RENAUL,Renault,Consumer Goods,Europe,France
RENAUL-RCIBanq,RCI Bqe,Consumer Goods,Europe,France
RENTPL,Rentokil Initial 1927 Plc,Industrials,Europe,United Kingdom
RHEINM-Rheinmet,Rheinmetall AG,Consumer Goods,Europe,Germany
RIOLN,Rio Tinto plc,Basic Materials,Europe,United Kingdom
RNK,Rank Gp PLC,Consumer Services,Europe,United Kingdom
RNTKIL,RENTOKIL INITIAL PLC,Industrials,Europe,United Kingdom
ROLLS,Rolls Royce plc,Industrials,Europe,United Kingdom
ROSW,Roche Hldg Ltd,Health Care,Europe,Switzerland
RSA-InsPLC,Royal & Sun Alliance Ins PLC,Financials,Europe,United Kingdom
RSAIG,RSA Ins GROUP PLC,Financials,Europe,United Kingdom
RXLDEV,REXEL Dev SAS,Industrials,Europe,France
SANPAO,Intesa Sanpaolo SpA,Financials,Europe,Italy
SANTNDR,Bco SANTANDER SA,Financials,Europe,Spain
SANUK,SANTANDER UK PLC,Financials,Europe,United Kingdom
SAPSJ-SGM,Sappi Papier Hldg GmBH,Basic Materials,Europe,Austria
SBRY,J Sainsbury PLC,Consumer Services,Europe,United Kingdom
SCACAP,Svenska Cellulosa AB SCA,Consumer Goods,Europe,Sweden
SCANIA,SCANIA AB,Industrials,Europe,Sweden
SCMNVX,Swisscom AG,Telecommunications,Europe,Switzerland
SCORS,SCOR SE,Financials,Europe,France
SCOTPO-Ukplc,Scottish Pwr UK PLC,Utilities,Europe,United Kingdom
SEB,Skandinaviska Enskilda Banken AB,Financials,Europe,Sweden
SECURI,Securitas AB,Industrials,Europe,Sweden
SESG,SES,Telecommunications,Europe,Luxembourg
SGCLN,Stagecoach Gp Plc,Consumer Services,Europe,United Kingdom
SGRO,SEGRO PLC,Financials,Europe,United Kingdom
SICILY,Region Sicily,Government,Europe,Italy
SIEM,Siemens AG,Industrials,Europe,Germany
SKF,AB SKF,Industrials,Europe,Sweden
SLTRW-Kelda,KELDA GROUP Ltd,Utilities,Europe,United Kingdom
SMIN,Smiths Gp Plc,Industrials,Europe,United Kingdom
SOCGEN,Societe Generale,Financials,Europe,France
SOLL,Soc Of Lloyd S,Financials,Europe,United Kingdom
SOLVAY,Solvay SA,Basic Materials,Europe,Belgium
SPAIN,Kdom Spain,Government,Europe,Spain
STAN,STANDARD CHARTERED PLC,Financials,Europe,United Kingdom
STAN-Bank,Std Chartered Bk,Financials,Europe,United Kingdom
STB,Storebrand ASA,Financials,Europe,Norway
STENA,Stena Aktiebolag,Industrials,Europe,Sweden
STGOBN,Cie de St Gobain,Industrials,Europe,France
STLIFE-LifeAss,STANDARD LIFE Assurn Ltd,Financials,Europe,United Kingdom
STM,Stmicroelectronics N V,Technology,Europe,Netherlands
STORA,Stora Enso CORP,Basic Materials,Europe,Finland
SVSKHB,Svenska Handelsbanken AB,Financials,Europe,Sweden
SWED,Kdom Sweden,Government,Europe,Sweden
SWEDBK,Swedbank AB,Financials,Europe,Sweden
SWEMAT,Swedish Match AB,Consumer Goods,Europe,Sweden
SWISS,Swiss Confederation,Government,Europe,Switzerland
SWLHLD,Swiss Life Hldg Ltd,Financials,Europe,Switzerland
SWREL,Swiss Reins Co Ltd,Financials,Europe,Switzerland
SWSL,Swiss Life Ltd,Financials,Europe,Switzerland
SXLTD,SIX CONTINENTS LTD,Consumer Services,Europe,United Kingdom
SYNNVX,Syngenta AG,Basic Materials,Europe,Switzerland
TATAGP-CORUSLTD,CORUS GROUP Ltd,Basic Materials,Europe,United Kingdom
TATELN,Tate & Lyle PLC,Consumer Goods,Europe,United Kingdom
TELDAN,TDC A/S,Telecommunications,Europe,Denmark
TELEFO,Telefonica S A,Telecommunications,Europe,Spain
TELNOR,Telenor ASA,Telecommunications,Europe,Norway
TFIFP,Societe Television Francaise 1,Consumer Services,Europe,France
TIIMN,Telecom Italia SpA,Telecommunications,Europe,Italy
TKA,Telekom Austria AG,Telecommunications,Europe,Austria
TKAGR,ThyssenKrupp AG,Industrials,Europe,Germany
TMSNRP-TRGL,THOMSON REUTERS GROUP Ltd,Consumer Services,Europe,United Kingdom
TNET,Telenet Group Hldg Nv,Consumer Services,Europe,Belgium
TOTALN,Total SA,Oil & Gas,Europe,France
TSCO,Tesco PLC,Consumer Services,Europe,United Kingdom
TWPLC,TAYLOR WIMPEY PLC,Consumer Goods,Europe,United Kingdom
TYECOG,Tyco Electrs Group SA,Industrials,Europe,Luxembourg
UBS,UBS AG,Financials,Europe,Switzerland
UCBAG,UniCredit Bk AG,Financials,Europe,Germany
UKIN,Utd Kdom Gt Britn & Nthn Irlnd,Government,Europe,United Kingdom
ULVR,Unilever N V,Consumer Goods,Europe,Netherlands
UPMKYM,UPM Kymmene CORP,Basic Materials,Europe,Finland
USPA,UniCredit SpA,Financials,Europe,Italy
UU,Utd Utils plc,Utilities,Europe,United Kingdom
VEOLIA,Veolia Environnement,Utilities,Europe,France
VINCI,Vinci,Industrials,Europe,France
VIRFIN,VIRGIN MEDIA Fin PLC,Telecommunications,Europe,United Kingdom
VIVNDI,Vivendi,Telecommunications,Europe,France
VLOF,Valeo,Consumer Goods,Europe,France
VLVY,AB Volvo,Industrials,Europe,Sweden
VLVY-Treasury,Volvo Treas AB,Industrials,Europe,Sweden
VOD,Vodafone Gp PLC,Telecommunications,Europe,United Kingdom
VW,Volkswagen AG,Consumer Goods,Europe,Germany
WEINBG,Wienerberger Ag,Industrials,Europe,Austria
WENL,WENDEL,Financials,Europe,France
WINDAQ,Wind Acquisition Fin SA,Financials,Europe,Luxembourg
WOLKLU,Wolters Kluwer N V,Consumer Services,Europe,Netherlands
WPPGRP-2005,WPP 2005 Ltd,Consumer Services,Europe,United Kingdom
YORPOW,Yorkshire Pwr Gp Ltd,Utilities,Europe,United Kingdom
ZINCO,Zurich Ins Co Ltd,Financials,Europe,Switzerland
